paragraph_arr,freq,title,rank,meaning,example,sentence,rating
DIVERSITY,18,12,216,The state of being diverse; variety.,there was considerable diversity in the style of the reports,"Topics such as ethics and diversity were taking center stage in 2019, and this past year they stayed there",2
PULL,15,14,210,Exert force on (someone or something) so as to cause movement toward oneself.,he pulled them down onto the couch,"While the previous pair of roles were related to designing the infrastructure to manage the data, as well as actually managing the data, business analysts are chiefly concerned with pulling from the data, more or less as it currently exists",2
DIVIDE,15,14,210,Separate or be separated into parts.,consumer magazines can be divided into a number of different categories,Parallelism is a good idea when the task can be divided into sub-tasks that can be executed independent of each other without communication or shared resources,2
HANDY,15,14,210,Convenient to handle or use; useful.,a handy desktop encyclopedia,And there you have a simple introduction to 12 handy command line tools,2
UNDERGRADUATE,15,14,210,A student at a college or university who has not yet earned a bachelor's or equivalent degree.,a group of Oxford undergraduates,"I switched into data science and machine learning during an MD/PhD program after a joint humanities and sciences undergraduate degree, and my day-to-day projects are highly interdisciplinary as a rule",2
OBSERVATION,15,14,210,The action or process of observing something or someone carefully or in order to gain information.,she was brought into the hospital for observation,"Next, an observation is conducted to determine how much of the available data fits into the perfect dataset defined in the previous step",2
WISE,15,14,210,"Having or showing experience, knowledge, and good judgment.",she seems kind and wise,"This is the best description I could come up with for what could otherwise be referred to as the ""real"" data scientist",2
MESSY,15,14,210,Untidy or dirty.,his messy hair,It is messy and hard to manipulate,2
PROMINENT,15,14,210,Important; famous.,she was a prominent member of the city council,"He has served as Scientific Advisor for several prominent analytics firms, including IBM, KPMG, Opera Solutions, NICE/Actimize, HCL, HNC Software, Mastercard Europe, JP Morgan Chase, and Halifax Bank of Scotland",2
PACE,15,14,210,A single step taken when walking or running.,Kirov stepped back a pace,This exponential growth in data causes high sparsity in the data set and unnecessarily increases storage space and processing time for the particular modelling algorithm,2
OBSERVE,15,14,210,Notice or perceive (something) and register it as being significant.,young people observe that decisions are made by others,"First, supervised learning models conditional probabilities P(Y|X), assuming data is observed, but not tampered with",2
TUNED,15,14,210,Adjust (a musical instrument) to the correct or uniform pitch.,he tuned the harp for me,The tuned Random Forest model is the best here because it has the least error when compared to Lasso and Linear regression,2
FORMAL,16,13,208,An evening gown.,cocktail parties every night so the ladies can show off their formals,"Recently, I actively started looking for a job change to Data science, I don’t have any formal education like Masters or Ph",2
AUGMENTED,16,13,208,Having been made greater in size or value.,augmented pensions for those retiring at 65,I hope you enjoyed the first blog post in our Augmented Scientist series,2
